#Clover,Crystal,Segment,X,Y,Z
0,0,0,63.0428,96.3306,-168.034
0,0,1,72.1658,110.548,-150.598
0,0,2,57.8728,116.087,-149.385
0,0,3,50.0869,101.343,-165.525
0,0,4,76.2441,121.608,-200.893
0,0,5,85.9909,136.847,-182.864
0,0,6,70.0525,143.493,-180.58
0,0,7,62.1092,126.9,-198.996
0,1,0,92.0261,140.575,-115.15
0,1,1,73.2055,148.323,-112.957
0,1,2,66.6311,133.737,-129.676
0,1,3,82.4204,126.26,-132.036
0,1,4,106.639,170.392,-143.369
0,1,5,87.3904,178.927,-141.135
0,1,6,79.1451,162.459,-159.53
0,1,7,97.2298,155.01,-161.458
0,2,0,34.3554,164.485,-115.126
0,2,1,30.96,147.381,-132.018
0,2,2,47.4063,141.663,-129.713
0,2,3,53.0696,156.787,-113.045
0,2,4,44.9086,195.84,-143.562
0,2,5,40.687,178.28,-161.622
0,2,6,58.7272,170.763,-159.68
0,2,7,64.5284,188.243,-141.284
0,3,0,23.5271,112.721,-168.018
0,3,1,36.2737,106.975,-165.405
0,3,2,41.1821,122.963,-149.416
0,3,3,27.1457,129.215,-150.781
0,3,4,32.153,139.717,-201.01
0,3,5,45.8756,133.471,-199.128
0,3,6,52.0018,150.802,-180.726
0,3,7,36.0513,157.381,-182.98
1,0,0,95.1888,-62.5228,-166.794
1,0,1,109.39,-71.6698,-149.358
1,0,2,114.924,-57.3842,-148.126
1,0,3,100.184,-49.5896,-164.266
1,0,4,120.461,-75.7313,-199.649
1,0,5,135.688,-85.4968,-181.619
1,0,6,142.329,-69.5652,-179.32
1,0,7,125.74,-61.6142,-197.736
1,1,0,139.384,-91.58,-113.91
1,1,1,147.15,-72.7367,-111.698
1,1,2,132.568,-66.1537,-128.417
1,1,3,125.086,-81.9504,-130.795
1,1,4,169.207,-106.186,-142.125
1,1,5,177.755,-86.9194,-139.875
1,1,6,161.291,-78.6664,-158.27
1,1,7,153.837,-96.758,-160.213
1,2,0,163.328,-33.8292,-113.886
1,2,1,146.218,-30.4619,-130.778
1,2,2,140.499,-46.9174,-128.454
1,2,3,155.626,-52.5715,-111.785
1,2,4,194.682,-44.3912,-142.318
1,2,5,177.117,-40.1912,-160.378
1,2,6,169.599,-58.2397,-158.42
1,2,7,187.082,-64.0327,-140.025
1,3,0,111.546,-23.0874,-166.778
1,3,1,105.803,-35.8056,-164.145
1,3,2,121.795,-40.705,-148.157
1,3,3,128.046,-26.6779,-149.54
1,3,4,138.543,-31.7044,-199.766
1,3,5,132.3,-45.4053,-197.869
1,3,6,149.634,-51.5234,-179.466
1,3,7,156.212,-35.5812,-181.736
2,0,0,121.789,10.1996,-37.4119
2,0,1,121.365,10.3458,-13.1381
2,0,2,112.944,31.8911,-13.91
2,0,3,112.374,32.4166,-37.1095
2,0,4,163.18,23.6913,-40.5599
2,0,5,163.275,23.4609,-15.0203
2,0,6,153.314,47.5094,-14.7784
2,0,7,153.406,47.2867,-40.8084
2,1,0,121.8,10.1732,37.3833
2,1,1,112.2,32.4708,37.086
2,1,2,112.926,31.9359,13.9584
2,1,3,121.503,10.3776,13.2546
2,1,4,163.104,23.8747,40.7584
2,1,5,153.33,47.4702,41.0078
2,1,6,153.238,47.6937,14.9779
2,1,7,163.199,23.6451,15.2189
2,2,0,93.3298,78.9054,37.4119
2,2,1,93.1335,78.5023,13.1381
2,2,2,102.414,57.3133,13.91
2,2,3,102.382,56.5384,37.1095
2,2,4,132.177,98.6495,40.56
2,2,5,132.043,98.8639,15.0203
2,2,6,142.004,74.8154,14.7784
2,2,7,141.912,75.038,40.8084
2,3,0,93.3188,78.9318,-37.3833
2,3,1,102.298,56.3773,-37.086
2,3,2,102.433,57.2686,-13.9584
2,3,3,93.2536,78.5774,-13.2546
2,3,4,132.214,98.45,-40.7584
2,3,5,141.988,74.8545,-41.0078
2,3,6,142.08,74.631,-14.9979
2,3,7,132.119,98.6796,-15.2189
3,0,0,92.5053,-78.5638,-37.4119
3,0,1,92.309,-78.1608,-13.1381
3,0,2,101.59,-56.9718,-13.91
3,0,3,101.558,-56.1969,-37.1095
3,0,4,131.313,-98.2919,-40.5599
3,0,5,131.218,-98.5223,-15.0203
3,0,6,141.179,-74.4738,-14.7784
3,0,7,141.087,-74.6965,-40.8084
3,1,0,92.4943,-78.5903,37.3833
3,1,1,101.473,-56.0358,37.086
3,1,2,101.608,-56.9271,13.9584
3,1,3,92.4291,-78.2359,13.2546
3,1,4,131.389,-98.1085,40.7584
3,1,5,141.163,-74.513,41.0078
3,1,6,141.256,-74.2895,14.9779
3,1,7,131.294,-98.3381,15.2189
3,2,0,120.964,-9.85807,37.4119
3,2,1,120.54,-10.0043,13.1381
3,2,2,112.12,-31.5496,13.91
3,2,3,111.549,-32.0751,37.1095
3,2,4,162.394,-23.3659,40.56
3,2,5,162.451,-23.1193,15.0203
3,2,6,152.49,-47.1678,14.7784
3,2,7,152.582,-46.9452,40.8084
3,3,0,120.975,-9.83165,-37.3833
3,3,1,111.376,-32.1293,-37.086
3,3,2,112.101,-31.5943,-13.9584
3,3,3,120.678,-10.0361,-13.2546
3,3,4,162.28,-23.5332,-40.7584
3,3,5,152.506,-47.1287,-41.0078
3,3,6,152.413,-47.3522,-14.9979
3,3,7,162.375,-23.3036,-15.2189
4,0,0,165.642,34.8809,116.366
4,0,1,148.544,31.4578,133.259
4,0,2,142.827,47.8951,130.972
4,0,3,157.948,53.5673,114.304
4,0,4,196.971,45.4132,144.778
4,0,5,179.443,41.1826,162.866
4,0,6,171.928,59.2147,160.939
4,0,7,189.405,65.0239,142.544
4,1,0,113.896,23.9676,169.258
4,1,1,108.146,36.742,166.664
4,1,2,124.131,41.6593,150.676
4,1,3,130.384,27.6137,152.021
4,1,4,140.891,32.6021,202.255
4,1,5,134.641,46.3462,200.388
4,1,6,151.983,52.4849,181.972
4,1,7,158.55,36.5215,184.225
4,2,0,97.4729,63.5621,169.275
4,2,1,111.706,72.6615,151.839
4,2,2,117.25,58.3613,150.644
4,2,3,102.502,50.5838,166.785
4,2,4,122.783,76.7686,202.167
4,2,5,138.006,86.4849,184.108
4,2,6,144.657,70.5398,181.839
4,2,7,128.061,62.6041,200.256
4,3,0,141.764,92.4727,116.39
4,3,1,149.496,73.6746,114.217
4,3,2,134.906,67.1085,130.935
4,3,3,127.435,82.8905,133.276
4,3,4,171.576,107.092,144.614
